claim_id,claim_text,allowed_status,evidence_path,evidence_status,notes
GATE1_PASS,Gate 1 thesis locked with 3 RQs and 3 papers,PASS,GATE1_LOCKED_RESEARCH_THESIS.md,PASS,Locked 2026-07-23
GATE2_PASS,End-to-end Edge-IO to NTN pipeline executable,PASS,results/gate2/post_merge_clean_system_proof/gate2_status.json,PASS,GATE2_SYSTEM_PASS
GATE3_ELIGIBLE_COUNT,Eligible pilot sessions collected,0/54,pilot/PILOT_PROTOCOL_v1.md,HUMAN_ACTION_REQUIRED,Do not round up
GATE3_PARTIAL,Calibration/rehearsal validate infrastructure,AUTOMATION_READY,GATE3_LOCAL_PILOT_HARDENING_FINAL_REPORT.md,PASS,Not GATE_3_PASS
GATE3_PASS,Full pilot matrix complete,BLOCKED,pilot/54_CELL_ASSIGNMENT_MATRIX.csv,BLOCKED,Requires 54 eligible non-synthetic
GATE4_READY,Evaluation design preregistered,AUTOMATION_READY,evaluation/EVALUATION_PREREGISTRATION.md,PASS,GATE4_EVALUATION_READY
GATE4_EXECUTED,Gate 4 run on complete physical data,BLOCKED,evaluation/GATE4_FINAL_REPORT.md,BLOCKED,RESULTS_PENDING_AUTHENTIC_GATE3_DATA
GATE4_PASS,Scientific evaluation pass,BLOCKED,results/gate4/gate4-run-20260724T001141Z/gate4_status.json,BLOCKED,Synthetic cannot produce PASS
PRIMARY_OUTCOME,Primary outcome is recovery_time_s,PASS,evaluation/PRIMARY_OUTCOME_LOCK.json,PASS,Preregistered
BASELINES_FIVE,Five AI-RAN baselines defined,PASS,evaluation/BASELINE_REGISTRY.yaml,PASS,
RESILIENCE_SIX,Six resilience baselines defined,PASS,evaluation/BASELINE_REGISTRY.yaml,PASS,
EXTERNAL_NTN,NTN external evidence aligned,PASS,results/external_evidence/EXTERNAL_EVIDENCE_REPORT.md,PASS,TR 38.821; not pilot substitute
REHEARSAL_PASS,Five-minute rehearsal passed,PASS,GATE3_FIVE_MINUTE_REHEARSAL_REPORT.md,PASS,Infrastructure only
ZONES_APPROVED,Pilot zones finalized,HUMAN_ACTION_REQUIRED,pilot/ZONE_DEFINITIONS.md,HUMAN_ACTION_REQUIRED,PENDING_ZONE placeholders
DATES_APPROVED,Collection dates finalized,HUMAN_ACTION_REQUIRED,pilot/configs/zones_and_days.yaml,HUMAN_ACTION_REQUIRED,PENDING_DATE placeholders
THESIS_TITLE,Exact Gate 1 dissertation title,PASS,contracts/gate1_locked_thesis.v1.json,PASS,
THREE_PAPERS,Three-paper roadmap locked,PASS,GATE1_LOCKED_RESEARCH_THESIS.md,PASS,No fourth paper
OPTIONAL_READYGARY,ReadyGary optional PHY only,PASS,contracts/gate1_locked_thesis.v1.json,PASS,Not required
DEVICE_PRODUCT,Devices are finished products,BLOCKED,../phd_application_readiness_package/NON_NEGOTIABLES.md,FAIL,Never claim
CAMPUS_DEPLOYED,7GC campuses deployed,BLOCKED,../phd_application_readiness_package/NON_NEGOTIABLES.md,FAIL,Simulation context only
CAUSAL_SUPERIORITY,Orchestration causally superior from calibration,BLOCKED,GATE1_LOCKED_RESEARCH_THESIS.md,FAIL,Calibration infrastructure only
GLOBAL_GENERALIZATION,Results generalize globally from Gary,BLOCKED,GATE1_LOCKED_RESEARCH_THESIS.md,FAIL,Explicit non-goal
FACULTY_COMMITMENT,Supervisor committed,BLOCKED,supervisor-alignment/OUTREACH_EVIDENCE_LOG.md,BLOCKED,No endorsement without log entry
DOI_ASSIGNED,Thesis or paper DOI exists,BLOCKED,,BLOCKED,Gate 6 not complete
GENERALIZATION_PASS,Generalization evidence complete,BLOCKED,generalization/README.md,BLOCKED,GENERALIZATION_EVIDENCE_PASS not claimed
MOCK_DEFENSE_SCORED,Mock defense completed,BLOCKED,defense/MOCK_DEFENSE_SCORECARD.md,BLOCKED,Not yet scored
EXTERNAL_REVIEW_RECEIVED,Scholarly reviews received,BLOCKED,external-review/REVIEW_LOG.md,BLOCKED,Empty log
APPLICATION_COMPLETE,Full application submitted,HUMAN_ACTION_REQUIRED,application/SUBMISSION_READINESS_CHECKLIST.md,HUMAN_ACTION_REQUIRED,Packet ready not submitted
