schema_name,schema_version,experiment_id,component,condition,metric,value,unit,evaluation_label,inference_label,deployable,notes
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,ai_ran,static_uniform,service_continuity_score,0.6427,score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,ai_ran,network_only,service_continuity_score,0.6627,score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,ai_ran,service_priority,service_continuity_score,0.456,score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,ai_ran,optimization_based,service_continuity_score,0.7293,score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,ai_ran,twin_informed,service_continuity_score,0.586,score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,resilience,terrestrial_only,recovery_time_s,0.506,normalized_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,resilience,terrestrial_then_offline,recovery_time_s,0.636,normalized_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,resilience,always_ntn_on_terrestrial_failure,recovery_time_s,0.6627,normalized_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,resilience,priority_class_fallback,recovery_time_s,0.5493,normalized_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,resilience,service_aware_multi_access,recovery_time_s,0.6093,normalized_score,infrastructure_validation_only,insufficient_sample_size_for_inference,true,"Dry-run values are deterministic infrastructure checks, not physical measurements."
gunnchos.gate4_result_record,1.0.0,gate4-20260722T170351Z,resilience,oracle_hindsight_analysis_only,recovery_time_s,0.8093,normalized_score,infrastructure_validation_only,insufficient_sample_size_for_inference,false,Oracle is analysis-only and never deployable.
